ID.ornitho.ch	ID.Espèce.Biolovision	Espèce	Nom.scientifique	Famille	Date	Jour	Mois	Année	Heure.début	Heure.fin	Commune	Département	Type.de.localisation	Altitude	Nombre
601263	371	Mésange bleue	Cyanistes caeruleus	Paridae	04.01.2014	4	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	2
590112	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.41666666666666669	0.4375	Sadirac	33	Jardin	103	6
590371	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.5	0.58333333333333337	Andernos-les-Bains	33	Jardin	13	1
590555	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.54166666666666663	0.58333333333333337	Léognan	33	Jardin	48	4
590862	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.47916666666666669	0.48958333333333331	Bouquehault	62	Jardin	79	2
590868	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.35416666666666669	0.36805555555555558	Bouquehault	62	Jardin	82	2
591145	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.40277777777777773	0.4236111111111111	Haillan (Le)	33	Jardin	21	1
591322	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.35416666666666669	0.38541666666666669	Saint-Quentin-de-Caplong	33	Jardin	70	2
592750	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.375	0.45833333333333331	Isbergues	62	Jardin	25	2
601269	371	Mésange bleue	Cyanistes caeruleus	Paridae	05.01.2014	5	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	2
592141	371	Mésange bleue	Cyanistes caeruleus	Paridae	06.01.2014	6	1	2014	0.50694444444444442	0.52083333333333337	Bouquehault	62	Jardin	82	1
592478	371	Mésange bleue	Cyanistes caeruleus	Paridae	06.01.2014	6	1	2014	0.54166666666666663	0.58333333333333337	Mérignac	33	Jardin	40	2
593744	371	Mésange bleue	Cyanistes caeruleus	Paridae	06.01.2014	6	1	2014	0.64583333333333337	0.65625	Vieil-Moutier	62	Jardin	202	8
601124	371	Mésange bleue	Cyanistes caeruleus	Paridae	06.01.2014	6	1	2014	0.70833333333333337	0.71180555555555547	Saint-Martin-du-Bois	33	Jardin	31	2
601881	371	Mésange bleue	Cyanistes caeruleus	Paridae	06.01.2014	6	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	3
593183	371	Mésange bleue	Cyanistes caeruleus	Paridae	07.01.2014	7	1	2014	0.5	0.50694444444444442	Bouquehault	62	Jardin	79	2
593188	371	Mésange bleue	Cyanistes caeruleus	Paridae	07.01.2014	7	1	2014	0.50694444444444442	0.52083333333333337	Bouquehault	62	Jardin	82	1
593275	371	Mésange bleue	Cyanistes caeruleus	Paridae	07.01.2014	7	1	2014	0.52083333333333337	0.5625	Pihem	62	Jardin	114	5
593321	371	Mésange bleue	Cyanistes caeruleus	Paridae	07.01.2014	7	1	2014	0.58333333333333337	0.625	Auchy-les-Mines	62	Jardin	28	5
593730	371	Mésange bleue	Cyanistes caeruleus	Paridae	07.01.2014	7	1	2014	0.58333333333333337	0.60416666666666663	Vieil-Moutier	62	Jardin	202	7
601895	371	Mésange bleue	Cyanistes caeruleus	Paridae	07.01.2014	7	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	1
594578	371	Mésange bleue	Cyanistes caeruleus	Paridae	08.01.2014	8	1	2014	0.38541666666666669	0.41666666666666669	Bouquehault	62	Jardin	79	4
594590	371	Mésange bleue	Cyanistes caeruleus	Paridae	08.01.2014	8	1	2014	0.36458333333333331	0.38541666666666669	Bouquehault	62	Jardin	82	2
594724	371	Mésange bleue	Cyanistes caeruleus	Paridae	08.01.2014	8	1	2014	0.5625	0.57291666666666663	Haillan (Le)	33	Jardin	21	1
601903	371	Mésange bleue	Cyanistes caeruleus	Paridae	08.01.2014	8	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	2
595278	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.40625	0.46875	Pihem	62	Jardin	114	3
595377	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.5	0.53125	Bouquehault	62	Jardin	82	2
595421	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.54513888888888895	0.54861111111111105	Lillers	62	Jardin	29	1
595661	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.375	0.4375	Mérignac	33	Jardin	40	2
595808	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.72569444444444453	0.72916666666666663	Haillan (Le)	33	Jardin	21	2
595946	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.5	0.5625	Blaye	33	Jardin	21	8
596659	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.4375	0.47916666666666669	Vieil-Moutier	62	Jardin	202	6
603611	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	3
614611	371	Mésange bleue	Cyanistes caeruleus	Paridae	09.01.2014	9	1	2014	0.36805555555555558	0.375	Arras	62	Jardin	67	2
596046	371	Mésange bleue	Cyanistes caeruleus	Paridae	10.01.2014	10	1	2014	0.375	0.38541666666666669	Léognan	33	Jardin	48	2
596252	371	Mésange bleue	Cyanistes caeruleus	Paridae	10.01.2014	10	1	2014	0.50694444444444442	0.54166666666666663	Bouquehault	62	Jardin	82	2
596416	371	Mésange bleue	Cyanistes caeruleus	Paridae	10.01.2014	10	1	2014	0.53125	0.60416666666666663	Pihem	62	Jardin	114	4
596649	371	Mésange bleue	Cyanistes caeruleus	Paridae	10.01.2014	10	1	2014	0.4375	0.4513888888888889	Vieil-Moutier	62	Jardin	202	6
603629	371	Mésange bleue	Cyanistes caeruleus	Paridae	10.01.2014	10	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	2
609521	371	Mésange bleue	Cyanistes caeruleus	Paridae	10.01.2014	10	1	2014	0.40972222222222227	0.41666666666666669	Lillers	62	Jardin	29	1
597511	371	Mésange bleue	Cyanistes caeruleus	Paridae	11.01.2014	11	1	2014	0.5	0.59722222222222221	Andernos-les-Bains	33	Jardin	13	1
597893	371	Mésange bleue	Cyanistes caeruleus	Paridae	11.01.2014	11	1	2014	0.58333333333333337	0.60416666666666663	Sadirac	33	Jardin	103	6
597940	371	Mésange bleue	Cyanistes caeruleus	Paridae	11.01.2014	11	1	2014	0.41666666666666669	0.52083333333333337	Bouquehault	62	Jardin	79	1
597953	371	Mésange bleue	Cyanistes caeruleus	Paridae	11.01.2014	11	1	2014	0.36458333333333331	0.39583333333333331	Bouquehault	62	Jardin	82	3
599569	371	Mésange bleue	Cyanistes caeruleus	Paridae	11.01.2014	11	1	2014	0.39583333333333331	0.45833333333333331	Saint-Quentin-de-Caplong	33	Jardin	70	2
601103	371	Mésange bleue	Cyanistes caeruleus	Paridae	11.01.2014	11	1	2014	0.65625	0.66666666666666663	Vieil-Moutier	62	Jardin	202	5
603644	371	Mésange bleue	Cyanistes caeruleus	Paridae	11.01.2014	11	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	1
649568	371	Mésange bleue	Cyanistes caeruleus	Paridae	11.01.2014	11	1	2014	0.375	0.66666666666666663	Boulogne-sur-Mer	62	Jardin	25	1
598603	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.47916666666666669	0.52083333333333337	Pessac	33	Jardin	29	2
599356	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.54166666666666663	0.57638888888888895	Salignac	33	Jardin	40	1
599578	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.51388888888888895	0.54166666666666663	Saint-Quentin-de-Caplong	33	Jardin	70	3
599637	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.45833333333333331	0.5	Bouquehault	62	Jardin	79	1
599644	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.375	0.45833333333333331	Bouquehault	62	Jardin	82	2
599885	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.45833333333333331	0.54166666666666663	Chamadelle	33	Jardin	16	14
603653	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	2
609063	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.375	0.41666666666666669	Isbergues	62	Jardin	25	1
649570	371	Mésange bleue	Cyanistes caeruleus	Paridae	12.01.2014	12	1	2014	0.41666666666666669	0.70833333333333337	Boulogne-sur-Mer	62	Jardin	25	3
600306	371	Mésange bleue	Cyanistes caeruleus	Paridae	13.01.2014	13	1	2014	0.51041666666666663	0.52083333333333337	Bouquehault	62	Jardin	79	1
600325	371	Mésange bleue	Cyanistes caeruleus	Paridae	13.01.2014	13	1	2014	0.5	0.51041666666666663	Bouquehault	62	Jardin	82	2
600720	371	Mésange bleue	Cyanistes caeruleus	Paridae	13.01.2014	13	1	2014	0.58333333333333337	0.625	Léognan	33	Jardin	48	8
601114	371	Mésange bleue	Cyanistes caeruleus	Paridae	13.01.2014	13	1	2014	0.5625	0.58333333333333337	Vieil-Moutier	62	Jardin	202	6
601129	371	Mésange bleue	Cyanistes caeruleus	Paridae	13.01.2014	13	1	2014	0.5	0.52083333333333337	Coutras	33	Jardin	19	3
601376	371	Mésange bleue	Cyanistes caeruleus	Paridae	13.01.2014	13	1	2014	0.625	0.63541666666666663	Carbon-Blanc	33	Jardin	29	5
603664	371	Mésange bleue	Cyanistes caeruleus	Paridae	13.01.2014	13	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	2
601636	371	Mésange bleue	Cyanistes caeruleus	Paridae	14.01.2014	14	1	2014	0.5	0.54166666666666663	Coutras	33	Jardin	19	3
